Genom: IMT25280	Hits	Significant Hits	Beginn	Ende	Länge	Strang	Contig
mecA:	1	1	21081	23087	2006	1	IMT25280_S11_contig_36
bbp:	10	0					
coa:	7	1	93039	94853	1814	1	IMT25280_S11_contig_25
clfA:	7	0					
clfB:	10	0					
cna:	8	0					
fnbA:	9	0					
fnbB:	6	0					
fib:	1	1	58193	57696	497	-1	IMT25280_S11_contig_21
eno:	1	1	176980	175676	1304	-1	IMT25280_S11_contig_15
isdA:	1	1	67255	66191	1064	-1	IMT25280_S11_contig_16
isdB:	2	1	65988	64069	1919	-1	IMT25280_S11_contig_16
isdC:	1	1	67464	68150	686	1	IMT25280_S11_contig_16
sasA:	1	1	117376	110537	6839	-1	IMT25280_S11_contig_4
sasC:	1	1	19247	25795	6548	1	IMT25280_S11_contig_6
sasD:	1	1	4223	3498	725	-1	IMT25280_S11_contig_18
sasF:	1	1	99639	97744	1895	-1	IMT25280_S11_contig_4
sasH:	1	1	31726	29405	2321	-1	IMT25280_S11_contig_36
map_eap:	3	1	17861	15792	2069	-1	IMT25280_S11_contig_41
spa:	7	0					
sdrC:	7	0					
sdrD:	16	0					
sdrH:	5	0					
atl:	1	1	9910	13656	3746	1	IMT25280_S11_contig_54
ebh:	9	1	41768	10135	31633	-1	IMT25280_S11_contig_14
ebpS:	1	1	9959	8505	1454	-1	IMT25280_S11_contig_19
bap:	0	0					
sasG:	0	0					
emp_ssp:	2	0					
isdH:	2	1	58912	56225	2687	-1	IMT25280_S11_contig_6
sasB:	3	0					
sasK:	0	0					
plsSCC:	4	0					
sdrE:	6	0					
vwb:	3	0					
aa_a:	1	1	21217	20161	1056	-1	IMT25280_S11_contig_8
ccrC:	0	0					
blaZ:	1	1	1925	1080	845	-1	IMT25280_S11_contig_12
ccrB:	1	1	14685	16322	1637	1	IMT25280_S11_contig_36
ccrA:	1	1	13314	14663	1349	1	IMT25280_S11_contig_36
