Genom: IMT24775	Hits	Significant Hits	Beginn	Ende	Länge	Strang	Contig
mecA:	1	1	10766	12772	2006	1	IMT24775_S6_contig_3
bbp:	12	0					
coa:	8	1	32885	31071	1814	-1	IMT24775_S6_contig_24
clfA:	7	0					
clfB:	13	0					
cna:	8	0					
fnbA:	8	0					
fnbB:	5	1	139385	140983	1598	1	IMT24775_S6_contig_10
fib:	1	1	219694	220191	497	1	IMT24775_S6_contig_4
eno:	1	1	15485	16789	1304	1	IMT24775_S6_contig_30
isdA:	1	1	191867	190803	1064	-1	IMT24775_S6_contig_4
isdB:	2	1	190600	188672	1928	-1	IMT24775_S6_contig_4
isdC:	1	1	192076	192762	686	1	IMT24775_S6_contig_4
sasA:	3	0					
sasC:	1	1	47322	53870	6548	1	IMT24775_S6_contig_33
sasD:	1	1	144242	143517	725	-1	IMT24775_S6_contig_24
sasF:	1	1	25185	23290	1895	-1	IMT24775_S6_contig_11
sasH:	1	1	13157	10836	2321	-1	IMT24775_S6_contig_20
map_eap:	3	1	89289	87220	2069	-1	IMT24775_S6_contig_19
spa:	7	0					
sdrC:	11	0					
sdrD:	18	0					
sdrH:	2	0					
atl:	1	1	36045	39791	3746	1	IMT24775_S6_contig_12
ebh:	16	0					
ebpS:	1	1	7701	9155	1454	1	IMT24775_S6_contig_23
bap:	0	0					
sasG:	0	0					
emp_ssp:	2	0					
isdH:	2	1	167062	169749	2687	1	IMT24775_S6_contig_1
sasB:	3	0					
sasK:	0	0					
plsSCC:	4	0					
sdrE:	6	0					
vwb:	3	0					
aa_a:	2	1	21217	20161	1056	-1	IMT24775_S6_contig_18
ccrC:	5	0					
blaZ:	1	1	69597	70442	845	1	IMT24775_S6_contig_19
ccrB:	0	0					
ccrA:	0	0					
